0,1,2
BPV145,PV145 VALVE POSITION (0.0-1.0),
ZCNDTK,CONDENSATE STORAGE TANK LEVEL(M).,
CIODMPC,AVERAGE IODINE CONCENTRATION(%),
UCHGUT,CHARGING LINE OUTLET TEMPERATURE,
BLV614,"LV614, VCT LEVEL CONTROL VALVE POSITION",
QPRZH,PROPORTIONAL HEATER FRACTIONAL POWER.,
ZREAC,REACTOR VESSEL WATER LEVEL (M),
ZINST63,PRZ LEVEL                           ,
UNRHXUT,NRHX OUTLET TEMPERATURE.,
ZINST65,PRZ PRESSURE(WIDE RANGE)         ,
ZVCT,VOLUME CONTROL TANK LEVEL.,
BHTV,HP TURBIN CONTROL VALVE POSITION.,
CAXOFF,AXIAL OFFSET.,
UPRZ,PRZ TEMPERATURE.,
CRETIV,REACTIVITY.,
ZINST85,STEAM LINE 3 FLOW        ,
ZINST56,PRZ DELTA LEVEL                     ,
ZINST87,STEAM LINE 1 FLOW        ,
WSPRAY,PRZ SPRAY FLOW FROM RCS LOOP#1 & #2,
BHV1,45(HV1)  GPM ORIFICE VALVE POSITION,
BRHCV,REHEATER CONTROL VALVE POSITION (0-1),
ZINST66,PRZ SPRAY FLOW                   ,
ZINST103,FEEDWATER PUMP OUTLET PRESS      ,
ZINST86,STEAM LINE 2 FLOW        ,
CXEMPCM,AVERAGE XENON CONCENTRATION (PCM),
URHXUT,RHX OUTLET TEMPERATURE.,
ZCOND,CONDENSER WATER LEVEL.,
ZINST108,CONDENSATE PUMP OUTLET PRESS     ,
ZINST68,LOOP 2 DELTA TEMP(NORM)  ,
ZINST1,POWER RANGE PERCENT POWER           ,
BPORV,POWER OPERATED RELIEF VALVE (PV445)POSITION.,
BFV122,CHARGING FLOW CONTROL VALVE(FV122) POSITION,
WBOAC,BORIC ACID FLOWRATE,
WFWLN1,FEEDWATER LINE #1 FLOW (KG/SEC).,
WFWLN2,FEEDWATER LINE #2 FLOW (KG/SEC).,
UHOLEG2,HOT-LEG #2 TEMPERATURE,
ZINST81,LOOP 1 FLOW            ,
ZINST67,LOOP 3 DELTA TEMP(NORM)  ,
ULPHOUT,TEMP OF LP HTR OUTLET WATER (DEG C),
ZINST72,S/G 1 LEVEL(WIDE)          ,
ZINST78,S/G 1 LEVEL(NARROW)        ,
ZINST69,LOOP 1 DELTA TEMP(NORM)  ,
UFUELM,AVERAGE FUEL TEMPERATURE.,
QOVER,OVERPOWER DELTA-T.,
UUPPPL,CORE OUTLET TEMPERATURE.,
ZINST101,MAIN STEAM FLOW                     ,
KBCDO15,SUBCOOLED TEMPERATURE MARGIN.,
ZINST79,LOOP 3 FLOW            ,
KBCDO7,CONTROL BANK D POSITION.,
BFV488,FW CONTROL VLV #2 POS (0-1),
WFWLN3,FEEDWATER LINE #3 FLOW (KG/SEC).,
UAVLEG1,LOOP #1 AVERAGE TEMPERATURE.,
BFV479,FW BYPASS VLV #1 POS (0-1),
UPRT,PRESSURE RELIEF TANK TEMPERATURE.,
ZINST100,FEEDWATER TEMP                     ,
ZINST74,S/G 2 PRESSURE          ,
ZINST99,MAIN STEAM HEADER PRESSURE       ,
BFV478,FW CONTROL VLV #1 POS (0-1),
ZINST2,INTERMEDIATE RANGE NEUTRON LEVEL    ,
ZINST80,LOOP 2 FLOW            ,
UHOLEG1,HOT-LEG #1 TEMPERATURE,
ZINST71,S/G 2 LEVEL(WIDE)          ,
WCHGNO,NORMAL CHARGING FLOW.,
ZINST121,CURRENT,
BPSV10,PSV10 VALVE POSITION.,
UCOLEG1,COLD-LEG #1 TEMPERATURE,
ZINST15,TEMP MISMATCH              ,
WDEWT,DEMI. WATER FLOWRATE,
UAVLEG2,LOOP #2 AVERAGE TEMPERATURE.,
BFV498,FW CONTROL VLV #3 POS (0-1),
UCOND,TEMP OF WATER IN CONDENSER(DEG C),
QPROLD,OLD VALUE OF QPROREL.,
ZINST70,S/G 3 LEVEL(WIDE)          ,
ZINST73,S/G 3 PRESSURE          ,
ZINST124,Generator Outpit (MWe)             ,
ZINST76,S/G 3 LEVEL(NARROW)        ,
UCTMT,CONTAINMENT TEMPERATURE.,
