0,1,2
ZINST65,PRZ Pressure (Channel Value),
PPRZ,PRZ Pressure (Real Value),
WSPRAY,PRZ Spray flow,
BPRZSP,PRZ Spray Valve Position,
CQHR,Power of PRZ Proportional Heater,
CQHB,Power of PRZ Back-up Heater,
BPORV,PORV Position,
ZINST63,PRZ Water Level (Channel Value),
ZPRZ,PRZ Water Level (Real Value),
WNETLD,Letdown Heat Exchanger Outlet Flow,
UNRHXUT,Letdown Heat Exchanger Outlet Temperature,
ZINST38,Letdown Line Flow,
ZINST39,Charging Line Flow,
UCHGUT,Charging Line Outlet Temperature,
BHV1,HV1 Orifice Valve Position,
BHV2,HV2 Orifice Valve Position,
BHV3,HV3 Orifice Valve Position,
BLV459,Letdown Isolation Valve Position,
ZINST72,SG1 Level (Wide),
ZINST71,SG2 Level (Wide),
ZINST70,SG3 Level (Wide),
ZINST78,SG1 Level (Narrow),
ZINST77,SG2 Level (Narrow),
ZINST76,SG3 Level (Narrow),
WFWLN1,Feedwater Line1 Flow,
WFWLN2,Feedwater Line2 Flow,
WFWLN3,Feedwater Line3 Flow,
ZINST87,Steam Line1 Flow,
ZINST86,Steam Line2 Flow,
ZINST85,Steam Line3 Flow,
QPROREL,Reactor Power,
UAVLEG1,Loop1 Average Temperature,
UAVLEG2,Loop2 Average Temperature,
UAVLEG3,Loop3 Average Temperature,
UCOLEG1,Cold-leg 1 Temperature,
UCOLEG2,Cold-leg 2 Temperature,
UCOLEG3,Cold-leg 3 Temperature,
UHOLEG1,Hot-leg 1 Temperature,
UHOLEG2,Hot-leg 2 Temperature,
UHOLEG3,Hot-leg 3 Temperature,
KBCDO10,Control Bank A Position,
KBCDO9,Control Bank B Position,
KBCDO8,Control Bank C Position,
KBCDO7,Control Bank D Position,
KBCDO6,Shutdown Bank A Position,
KBCDO5,Shutdown Bank B Position,
KBCDO4,Shutdown Bank C Position,
KBCDO3,Shutdown Bank D Position,
ZINST124,Electric Power,
PPRT,PRT Pressure,
UPRT,PRT Temperature,
ZPRTL,PRT Water Level,
BPSV10,PRZ Safety Valve Position,
WPRZSV,PRZ Safety Valve Flow,
ZVCT,VCT Water Level,
BHV6,PRZ PORV Isolation Valve,
ZINST22,Containment Radiation,
ZINST102,Secondary Radiation,
ZINST23,Containment Relative Humidity,
ZSUMP,Containment Sump Water Level,
BPV145,PV145 Valve Position,
ZINST36,Letdown Back Pressure,
BFV122,Charging Flow Control Valve Position,
ZINST75,SG1 Pressure,
ZINST74,SG2 Pressure,
ZINST73,SG3 Pressure,
